Timestamp,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DayOfWeek,Holiday,EnergyConsumption
2022-01-01 00:00:00,22.2973,55.5466,1500.0,2,Off,Off,0.8802,Saturday,No,23.7309
2022-01-01 01:00:00,20.3038,52.3797,2500.0,3,Off,On,0.7243,Saturday,No,35.3759
2022-01-01 02:00:00,21.0992,54.7912,1200.0,3,On,Off,0.0,Saturday,No,20.0
2022-01-01 03:00:00,22.0735,61.5958,1000.0,3,On,Off,0.0,Saturday,No,20.0
2022-01-01 04:00:00,17.8355,67.3722,1800.0,2,On,On,2.3127,Saturday,No,29.9807
2022-01-01 05:00:00,17.2143,61.8996,1500.0,4,Off,Off,1.9282,Saturday,No,21.0491
2022-01-01 06:00:00,20.3642,57.2045,2000.0,4,Off,Off,0.0,Saturday,No,34.4059
2022-01-01 07:00:00,18.4409,68.9518,800.0,2,Off,Off,3.6898,Saturday,No,20.0
2022-01-01 08:00:00,15.8649,55.2378,2000.0,2,On,Off,9.7603,Saturday,No,24.924
2022-01-01 09:00:00,17.9912,65.35,1200.0,3,On,Off,12.3869,Saturday,No,20.0
2022-01-01 10:00:00,16.2789,55.3118,1800.0,2,On,Off,18.132,Saturday,No,25.7931
2022-01-01 11:00:00,16.7511,60.9229,800.0,2,On,Off,18.9141,Saturday,No,20.0
2022-01-01 12:00:00,18.7878,55.9552,1500.0,2,On,On,21.9451,Saturday,No,20.0
2022-01-01 13:00:00,15.2008,57.4929,1800.0,2,Off,Off,18.8223,Saturday,No,23.595
2022-01-01 14:00:00,16.354,54.5747,1200.0,3,On,Off,19.0984,Saturday,No,20.0
2022-01-01 15:00:00,19.4557,67.4221,1000.0,3,On,Off,13.1056,Saturday,No,20.0
2022-01-01 16:00:00,19.2782,50.8531,1500.0,2,On,On,9.0071,Saturday,No,28.2915
2022-01-01 17:00:00,22.5537,49.812,2000.0,2,Off,Off,5.0798,Saturday,No,41.3766
2022-01-01 18:00:00,20.5859,73.2922,1200.0,4,Off,Off,0.0,Saturday,No,26.037
2022-01-01 19:00:00,19.877,64.3597,1200.0,4,Off,On,0.0,Saturday,No,29.2915
2022-01-01 20:00:00,25.7351,35.6985,1200.0,2,Off,On,2.1938,Saturday,No,24.3094
2022-01-01 21:00:00,22.2501,51.3029,2500.0,4,Off,Off,0.0,Saturday,No,43.2927
2022-01-01 22:00:00,22.537,41.243,1200.0,4,Off,On,1.9909,Saturday,No,21.6322
2022-01-01 23:00:00,19.0757,49.1718,800.0,3,Off,On,0.1512,Saturday,No,20.0
2022-01-02 00:00:00,20.2151,31.3274,1800.0,3,On,On,0.3564,Sunday,No,26.8426
2022-01-02 01:00:00,20.8021,55.1634,1800.0,3,On,On,0.8136,Sunday,No,30.5985
2022-01-02 02:00:00,17.5019,48.1139,1000.0,4,Off,On,0.0,Sunday,No,20.6512
2022-01-02 03:00:00,19.7788,57.0456,3000.0,2,On,On,0.7014,Sunday,No,44.017
